Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1;Brenden Aaronson;USA;MFFW;Leeds United;Premier League;22;2000;14;14;1189;13.2;0.08;1.44;0.3;21.1;0.05;0.25;19.1;0.08;0;0;25.3;33.8;74.9;323.3;91.7;14.5;17.7;82.4;6.36;8.26;77.1;1.14;2.95;38.5;0.15;2.05;2.05;0.53;0.15;2.12;33.8;30.5;3.26;0.76;0.23;0;0;3.18;1.89;0.83;0.83;0.08;0;0;0;0;0;0;0.3;0;25.3;0;0;0;1.06;3.86;2.65;0.53;0.23;0.15;0.23;0.08;0.38;0.23;0;0;0.08;0;0.08;1.82;0.45;0.61;0.98;0.23;0.61;1.82;33.3;1.21;0;0;0;0;0;0;0;1.59;0.08;1.52;0.08;1.89;0.38;0;46.5;0.38;4.55;20;22.9;2.58;46.5;1.44;4.09;35.2;0;0;0;0;0;0;0;0;2.42;3.11;31.8;4.85;0;0;0.15;0;0;0.61;2.12;0.23;3.18;0.45;0;0;0;5.15;0.45;1.29;26.1
2;Yunis Abdelhamid;MAR;DF;Reims;Ligue 1;35;1987;15;15;1350;15;0;1;0;0;0;0;12;0;0;0;34.4;42.7;80.5;672.5;296.9;10.4;12.3;84.3;19.1;21.3;89.7;4.13;7.53;54.9;0;0.27;2.73;0.13;0;3.07;42.7;38.5;4;3.47;0;0;0.67;0.2;0;0;0;0;0;0;0;0;0;0;0.13;0;34.4;0.2;0;0;0.47;1.07;0.8;0;0;0.13;0;0.13;0.13;0.07;0;0;0.07;0;0;2.2;1.33;1.13;1.07;0;1;1.27;78.9;0.27;0;0;0;0;0;0;0;2;0.8;1.2;2.27;4.47;2.87;0;54.1;6;24.9;27;2.73;1.47;54.1;0.4;0.8;50;0;0;0;0;0;0;0;0;0.6;0.8;29.5;0.2;0;0;0.07;0;0;1.27;0.6;0.07;0.2;1.33;0;0;0;6.4;1.93;1.07;64.4
3;Himad Abdelli;FRA;MFFW;Angers;Ligue 1;23;1999;7;2;231;2.6;0;1.15;0.77;66.7;0;0;20.4;0;0;0;43.1;54.6;78.9;751.2;201.9;18.1;22.3;81;18.1;22.7;79.7;5.38;6.92;77.8;0;2.31;5.38;1.54;0;5.77;54.6;53.8;0.77;0.38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.38;0;43.1;0;0;0;1.15;3.46;2.69;0;0;0.38;0;0.38;0;0;0;0;0;0;0;1.92;0;0;1.92;0;1.15;1.15;100;0;0;0;0;0;0;0;0;0;0;0;1.15;3.08;0.77;0;69.2;1.15;9.62;42.3;18.8;2.31;69.2;1.92;5;38.5;0;0;0;0;0;0;0;0;3.46;1.54;51.9;6.15;0;0;0;0;0;1.15;2.31;0;0;0;0;0;0;6.54;0.77;1.54;33.3
4;Salis Abdul Samed;GHA;MF;Lens;Ligue 1;22;2000;15;15;1349;15;0.07;0.4;0.07;16.7;0.17;1;23.6;0;0;0;55.3;60.6;91.3;894.8;218.3;26.6;28.9;92.1;23.9;25.1;95;3.2;4.07;78.7;0;0.6;5.4;0.67;0.07;3.87;60.6;58.9;1.33;1.33;0.07;0;0.27;0.33;0;0;0;0;0;0;0;0;0;0;0;0;55.3;0.4;0;0;0.4;1.27;1.13;0;0;0;0;0.13;0;0;0;0;0;0;0;1.47;0.67;0.53;0.8;0.13;0.93;1.53;60.9;0.6;0;0;0;0;0;0;0;1.13;0.27;0.87;1.2;2.67;0.87;0;68.5;1.8;11.6;47.8;9.6;0.4;68.5;0.6;1.07;56.3;0;0;0;0;0;0;0;0;1.27;1.4;52.2;1.13;0;0;0.13;0;0;2.47;1.47;0;0.33;0.67;0;0;0.07;6.53;0.6;0.47;56.3
5;Laurent Abergel;FRA;MF;Lorient;Ligue 1;29;1993;10;10;807;9;0;0.44;0;0;0;0;23.9;0;0;0;37.7;42;89.7;612.6;225.9;17.6;18.6;94.6;15.1;16.9;89.5;3;3.89;77.1;0.11;0.78;3.67;0.22;0;3;42;41.1;0.78;0.78;0.33;0;0.22;0.22;0;0;0;0;0;0;0;0;0;0;0;0;37.7;0.11;0;0;0.33;1.44;1.22;0;0;0.11;0;0.11;0.11;0.11;0;0;0;0;0;3.56;1.89;2.56;1;0;1.11;3;37;1.89;0;0;0;0;0;0;0;1.33;0.22;1.11;1.33;4.89;1.11;0;52.8;3.11;19.4;29.6;4.44;0.22;52.8;0.44;0.89;50;0;0;0;0;0;0;0;0;1.11;0.67;35.2;0.22;0;0;0.22;0;0;0.78;1;0;0.22;1.89;0;0;0;5.67;0.22;0.22;50
6;Matthis Abline;FRA;FWMF;Rennes;Ligue 1;19;2003;10;0;105;1.2;0.83;5;1.67;33.3;0.17;0.5;12.2;0;0;0;5;11.7;42.9;91.7;22.5;2.5;5;50;1.67;2.5;66.7;0.83;0.83;100;0;1.67;0;0.83;0;0.83;11.7;11.7;0;0;0.83;0;0;1.67;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0.83;5.83;1.67;0;0;2.5;0.83;0.83;1.67;0;0;0;0;0.83;0.83;0.83;0.83;0;0;0.83;0.83;0.83;100;0;0;0;0;0;0;0;0;0.83;0;0.83;1.67;2.5;0.83;0;29.2;0.83;0.83;11.7;17.5;11.7;29.2;0;0;0;0;0;0;0;0;0;0;0;8.33;0;20;10;0;0;0;0;0;2.5;3.33;0.83;1.67;0.83;0.83;0;0;1.67;0.83;3.33;20
7;Zakaria Aboukhlal;MAR;FWMF;Toulouse;Ligue 1;22;2000;15;14;1170;13;0.23;2.77;0.92;33.3;0.08;0.25;18.5;0;0;0;16.9;24.7;68.5;211.6;51.5;11.2;14.5;77.7;4.15;5.77;72;0.23;0.69;33.3;0.23;0.54;0.77;0.38;0.08;1.08;24.7;23.8;0.69;0.08;0;0;0;1.15;0;0;0;0;0;0;0;0;0;0;0.62;0;16.9;0.15;0;0;1.77;2.15;1.23;0;0.23;0.31;0.38;0;0.15;0.08;0;0.08;0;0;0;0.85;0.62;0.38;0.23;0.23;0.31;1.23;25;0.92;0;0;0;0;0;0;0;0.62;0.08;0.54;0.77;1.62;0.46;0;36.4;0.85;5.23;13.3;18.5;4.77;36.4;1.15;3.08;37.5;0;0;0;0;0;0;0;0;2.77;1;26.4;7.23;0;0;0.15;0;0;1.46;1.54;0.54;1.15;0.62;0;0;0;4.46;0.31;1.23;20
8;Tammy Abraham;ENG;FW;Roma;Serie A;25;1997;15;12;1041;11.6;0.26;3.02;1.12;37.1;0.09;0.23;12.2;0;0;0;14.3;19.7;72.8;208.9;50.5;8.45;10;84.5;3.97;6.03;65.7;1.12;1.47;76.5;0.09;1.47;0.6;0.6;0.09;1.64;19.7;17.9;1.55;0.09;0.09;0;0.09;0.26;0;0;0;0;0;0;0;0;0;0;0.09;0;14.3;0.17;0;0;0.17;3.28;2.07;0;0.17;0.78;0.26;0;0.43;0.09;0;0;0.26;0.09;0;0.95;0.6;0.26;0.34;0.34;0.26;0.78;33.3;0.52;0;0;0;0;0;0;0;0.34;0.17;0.17;0.09;1.03;0.34;0;30.9;0.6;1.81;15.3;14.4;5.26;30.9;0.69;2.5;27.6;0;0;0;0;0;0;0;0;2.67;0.95;24.2;5.17;0;0;0;0;0;1.29;1.9;0.52;0.26;0.6;0.09;0;0;1.55;2.33;2.07;52.9
9;Francesco Acerbi;ITA;DF;Inter;Serie A;34;1988;9;7;660;7.3;0;0.41;0;0;0;0;22;0;0;0;59.7;67.7;88.3;1143.3;350.7;21.8;23.6;92.4;29.6;32.5;91.1;7.26;9.86;73.6;0.14;0.27;3.56;0.27;0;3.42;67.7;63.6;4.11;2.6;0;0;1.23;0.27;0;0;0;0;0;0;0;0;0;0;0.96;0;59.7;0;0;0;0;0.82;0.68;0;0;0;0;0.14;0;0;0;0;0;0;0;1.1;0.41;0.96;0.14;0;0.41;0.41;100;0;0;0;0;0;0;0;0;0.68;0.41;0.27;0.82;1.92;3.01;0;74.1;9.32;34;37;3.56;0.55;74.1;0;0.27;0;0;0;0;0;0;0;0;0;0.41;0.14;52.7;0.41;0;0;0.14;0;0;0.82;0.68;0;0.27;0.41;0;0;0;4.66;2.33;0.55;81
10;Mohamed Achi;FRA;FW;Nantes;Ligue 1;20;2002;2;0;36;0.4;0;2.5;0;0;0;0;26.1;0;0;0;45;52.5;85.7;685;190;17.5;17.5;100;25;30;83.3;0;2.5;0;0;2.5;2.5;0;0;2.5;52.5;50;2.5;0;0;0;0;2.5;2.5;0;2.5;0;0;0;0;0;0;0;0;0;45;0;0;0;0;2.5;2.5;0;0;0;0;0;0;0;0;0;0;0;0;2.5;2.5;2.5;0;0;2.5;2.5;100;0;0;0;0;0;0;0;0;0;0;0;0;2.5;0;0;62.5;0;10;27.5;25;0;62.5;0;2.5;0;0;0;0;0;0;0;0;0;0;2.5;47.5;5;0;0;0;0;0;5;0;0;2.5;2.5;0;0;0;5;0;0;0
11;Marcos Acuña;ARG;DF;Sevilla;La Liga;31;1991;10;7;551;6.1;0;1.48;0;0;0;0;29.7;0.16;0;0;45.7;64.4;71;901.1;375.6;21.8;24.8;88.1;14.9;19.8;75.2;8.2;16.4;50;0;1.97;2.3;1.97;1.15;3.61;64.4;50;14.3;3.28;0;0;1.31;9.02;2.62;0.82;1.64;0;0;0;0;0;0;0;8.36;0;45.7;0.16;0;0;0.82;3.28;1.64;0.98;0;0.33;0;0.33;0.16;0.16;0;0;0;0;0;3.11;1.64;1.64;1.31;0.16;1.48;2.3;64.3;0.82;0;0;0;0;0;0;0;1.15;0.33;0.82;1.8;4.92;1.15;0;73.4;4.1;23.9;31.6;19;1.15;73.4;0.66;1.97;33.3;0;0;0;0;0;0;0;0;1.48;0.49;42;1.64;0;0;0.66;0.16;0;2.3;1.31;0;9.02;1.64;0;0.16;0;8.36;1.64;0.98;62.5
12;Che Adams;SCO;FW;Southampton;Premier League;26;1996;14;12;1066;11.8;0.34;2.46;1.02;41.4;0.14;0.33;13.8;0;0;0;15.1;21.8;69.3;223.4;40.7;9.24;12;76.8;3.39;5.08;66.7;1.53;1.69;90;0.08;1.36;0.68;0.59;0.17;0.93;21.8;21.3;0.42;0;0.17;0;0.51;0.59;0;0;0;0;0;0;0;0;0;0;0.25;0;15.1;0.08;0;0;0.68;2.37;1.86;0.08;0.08;0.25;0.08;0;0.08;0.08;0;0;0;0;0;0.85;0.76;0.34;0.42;0.08;0.34;0.42;80;0.08;0;0;0;0;0;0;0;0.68;0.17;0.51;0.25;1.1;1.19;0;32.7;1.44;3.05;11.6;18.8;5.59;32.7;0.85;1.69;50;0;0;0;0;0;0;0;0;3.47;0.93;25.2;4.58;0;0;0;0;0;1.53;1.02;0.42;0.59;0.76;0;0;0;2.03;2.71;5.25;34
13;Tyler Adams;USA;MF;Leeds United;Premier League;23;1999;13;13;1166;13;0;0.15;0;0;0;0;29.4;0;0;0;47.6;57.8;82.3;733.9;227.4;25.5;28.8;88.3;17.8;21;84.6;2.69;4.77;56.5;0;1.15;4.69;0.62;0;4.46;57.8;54.6;3.23;2.62;0.08;0;0.08;0.15;0;0;0;0;0;0;0;0;0;0;0.62;0;47.6;0;0;0;0.85;1.85;1.69;0;0;0;0.08;0.08;0.08;0.08;0;0;0;0;0;4;2.15;2.15;1.54;0.31;2.38;3.54;67.4;1.15;0;0;0;0;0;0;0;1.62;0.31;1.31;1.23;5.23;1;0;69.2;1.54;15.5;42.9;11.2;0.15;69.2;0.15;0.92;16.7;0;0;0;0;0;0;0;0;1.31;0.54;40.4;0.85;0;0;0.31;0.08;0.08;1.92;0.92;0;0.15;2.15;0;0;0;8;0.69;0.54;56.3
14;Sargis Adamyan;ARM;FWMF;Köln;Bundesliga;29;1993;14;3;434;4.8;0.21;3.33;1.88;56.3;0.06;0.11;13.4;0.00E+00;0;0;18.3;25.2;72.7;306.5;70;9.17;10.6;86.3;7.29;10;72.9;1.67;2.29E+00;72.7;0.21;1.46;1.04;1.67;0.42;2.71;25.2;2.21E+01;2.92;0;0.21;0;0.21;1.88;0;0;0;0;0;0;0;0;0;0;1.25;0;18.3;0.21;0;0;0.42;3.54;2.71;0;0;0.83;0;0;0.42;0.21;0;0;0.21;0;0;1.67;1.04;6.30E-01;0.21;0.83;0.83;1.88;44.4;1.04;0;0;0;0;0;0;0;1.46;0;1.46;0.21;1.88;0.42;0;41.9;0.42;3.75;17.1;21.7;7.29;4.19E+01;0.42;3.96;10.5;0;0;0;0;0;0;0;0;3.75;2.92;27.7;6.88;0;0.00E+00;0.21;0;0;2.29;0.83;0.63;1.88;1.04;0;0;0;5.21;1.67;3.96;29.6
15;Tosin Adarabioyo;ENG;DF;Fulham;Premier League;25;1997;10;10;900;10;0.1;0.3;0.1;33.3;0.33;1;11.1;0;0;0;38.9;48.8;79.7;788.8;290.7;10;11.5;87;25.3;28.7;88.2;3.2;7.3;43.8;0;0.1;2.2;0.2;0;2.8;48.8;46.6;1.8;1.3;0;0;0.4;0.1;0;0;0;0;0;0;0;0;0;0;0.4;0;38.9;0.4;0;0;0.5;0.5;0.3;0;0;0;0;0.2;0;0;0;0;0;0;0;1.1;0.4;0.9;0.2;0;0.4;0.6;66.7;0.2;0;0;0;0;0;0;0;0.7;0.6;0.1;1.1;2.2;5;0;57.8;9.7;30.4;26.2;1.4;0.3;57.8;0.1;0.2;50;0;0;0;0;0;0;0;0;0.1;0.3;35.5;0.1;0;0;0;0;0;0.6;0.2;0;0.1;0.4;0;0;0;4;2.2;0.5;81.5
16;Martin Adeline;FRA;MFFW;Reims;Ligue 1;18;2003;4;0;93;1;0;1;0;0;0;0;25.5;0;0;0;23;34;67.6;308;71;9;15;60;8;10;80;1;3;33.3;0;0;1;0;0;0;34;31;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;23;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;3;3;2;1;0;3;4;75;1;0;0;0;0;0;0;0;3;1;2;2;5;2;0;50;3;20;19;12;1;50;1;3;33.3;0;0;0;0;0;0;0;0;4;2;22;1;0;0;1;0;0;4;0;0;0;3;0;0;0;11;4;1;80
17;Karim Adeyemi;GER;FWMF;Dortmund;Bundesliga;20;2002;11;7;489;5.4;0;2.22;1.11;50;0;0;18.2;0;0;0;23.7;32.8;72.3;311.9;90.9;15.2;18;84.5;6.48;8.33;77.8;0.93;2.41;38.5;0;1.48;1.48;1.67;0;2.22;32.8;30.9;1.67;0.37;0;0;0.19;1.3;0.93;0.93;0;0;0;0;0;0;0;0;0.37;0;23.7;0.19;0;0;1.48;3.89;2.59;0;0.19;0.56;0.37;0.19;0.56;0.37;0;0;0.19;0;0;1.11;0.37;0.56;0.37;0.19;1.11;2.78;40;1.67;0;0;0;0;0;0;0;1.3;0;1.3;0.74;1.85;0;0;46.3;0.93;5;18.1;23.9;3.33;46.3;1.67;5;33.3;0;0;0;0;0;0;0;0;3.89;1.67;33.5;7.04;0;0;0.56;0;0;1.3;1.67;0;1.3;0.37;0;0;0;3.7;1.11;0.19;85.7
18;Amine Adli;FRA;FW;Leverkusen;Bundesliga;22;2000;8;3;355;3.9;0;1.28;0.51;40;0;0;11.4;0;0;0;23.6;29;81.4;306.2;60.3;14.1;16.9;83.3;6.67;6.67;100;0.77;1.54;50;0.26;1.03;2.05;0.51;0;1.79;29;27.7;1.28;0;0.26;0;0;0.77;0.51;0;0;0;0;0;0;0;0;0;0.51;0;23.6;0;0;0;1.54;2.82;1.79;0;0.26;0.26;0.26;0.26;0.51;0.26;0;0.26;0;0;0;1.28;1.03;0.26;0.26;0.77;0.26;1.28;20;1.03;0;0;0;0;0;0;0;2.56;0;2.56;0.51;1.79;0.26;0;42.8;0;4.87;22.1;16.2;2.82;42.8;0.77;2.56;30;0;0;0;0;0;0;0;0;3.85;1.54;30.3;6.15;0;0;0;0;0;3.08;2.56;0.26;0.77;1.03;0;0;0;3.85;0.77;1.79;30
19;Yacine Adli;FRA;MFFW;Milan;Serie A;22;2000;4;1;116;1.3;0;1.54;1.54;100;0;0;18.5;0;0;0;29.2;46.2;63.3;512.3;166.2;14.6;18.5;79.2;9.23;13.8;66.7;3.85;8.46;45.5;0;0.77;3.08;1.54;0;4.62;46.2;44.6;1.54;0.77;0;0;0.77;3.08;0;0;0;0;0;0;0;0;0;0;0.77;0;29.2;0;0;0;3.08;0.77;0.77;0;0;0;0;0;0;0;0;0;0;0;0;4.62;2.31;1.54;3.08;0;1.54;1.54;100;0;0;0;0;0;0;0;0;1.54;0;1.54;0.77;5.38;0.77;0;59.2;0.77;8.46;29.2;23.8;0.77;59.2;0.77;0.77;100;0;0;0;0;0;0;0;0;1.54;1.54;43.1;4.62;0;0;0.77;0;0;2.31;0.77;0;3.08;2.31;0;0;0;3.85;0;2.31;0
20;Michel Aebischer;SUI;FWMF;Bologna;Serie A;25;1997;13;7;625;6.9;0.14;1.3;0.29;22.2;0.11;0.5;16.9;0.14;0;0;30.3;37.2;81.3;463.9;131;16.2;18.1;89.6;11.3;12.9;87.6;2.17;3.91;55.6;0;0.72;2.17;0;0;1.3;37.2;35.5;1.45;0.43;0;0;0.29;0.72;0.29;0;0.29;0;0;0;0;0;0;0;0.58;0;30.3;0.29;0;0;1.01;1.88;1.16;0.14;0.14;0.29;0.14;0;0.29;0;0;0;0.14;0.14;0;0.29;0.14;0;0;0.29;0;0.58;0;0.58;0;0;0;0;0;0;0;1.16;0.14;1.01;0.29;0.58;0.58;0;44.1;0.72;9.57;21.6;12.9;1.59;44.1;0.14;0.43;33.3;0;0;0;0;0;0;0;0;1.59;1.01;33.5;2.61;0;0;0.29;0;0;1.01;1.88;0.58;0.72;0.14;0.14;0.14;0;4.78;0.72;1.16;38.5
21;Felix Afena-Gyan;GHA;FWMF;Cremonese;Serie A;19;2003;7;2;220;2.4;0;1.25;0;0;0;0;17;0;0;0;13.3;16.7;80;166.7;26.7;9.58;10.8;88.5;2.92;3.33;87.5;0.42;1.25;33.3;0;0.42;0.42;0;0;0.42;16.7;15.8;0.83;0;0;0;0;0.42;0;0;0;0;0;0;0;0;0;0;0.42;0;13.3;0;0;0;0.42;1.67;1.25;0;0;0.42;0;0;0;0;0;0;0;0;0;1.67;0.83;1.25;0.42;0;0.42;0.42;100;0;0;0;0;0;0;0;0;0;0;0;0;1.67;0.42;0;29.2;1.67;5.42;10.4;14.2;2.92;29.2;0.83;2.08;40;0;0;0;0;0;0;0;0;5.42;2.08;18.8;4.58;0;0;0.42;0;0;2.92;0.83;1.67;0.42;0.83;0;0;0;5;1.67;5.42;23.5
22;Emmanuel Agbadou;CIV;DF;Reims;Ligue 1;25;1997;12;11;969;10.8;0;0.93;0.19;20;0;0;16;0;0;0;37.6;44.6;84.2;771.3;299.6;12.6;14.1;89.5;18.8;21;89.4;5.74;8.61;66.7;0;0.19;2.41;0.46;0;2.04;44.6;42.3;2.22;2.13;0.28;0;0.56;0;0;0;0;0;0;0;0;0;0;0;0;0;37.6;0.09;0;0;0.28;1.11;0.83;0.09;0;0.19;0;0;0.09;0.09;0;0;0;0;0;2.69;1.67;1.85;0.83;0;1.48;2.04;72.7;0.56;0;0;0;0;0;0;0;1.2;0.56;0.65;1.2;3.89;5;0.09;56.4;8.89;31.3;23.3;2.31;0.93;56.4;0.37;0.56;66.7;0;0;0;0;0;0;0;0;0.83;0.37;30.7;0.37;0;0;0.19;0.19;0;1.39;0.28;0;0;1.67;0;0;0;8.06;2.13;1.39;60.5
23;Lucien Agoume;FRA;MF;Troyes;Ligue 1;20;2002;3;2;106;1.2;0;0;0;0;0;0;0;0;0;0;44.2;53.3;82.8;773.3;180.8;17.5;20.8;84;20;22.5;88.9;5;7.5;66.7;0;1.67;5;2.5;0.83;5;53.3;50.8;2.5;1.67;0;0;0;1.67;0;0;0;0;0;0;0;0;0;0;0.83;0;44.2;0;0;0;0.83;2.5;2.5;0;0;0;0;0;0;0;0;0;0;0;0;3.33;1.67;0.83;1.67;0.83;1.67;2.5;66.7;0.83;0;0;0;0;0;0;0;1.67;0.83;0.83;1.67;5;0.83;0;61.7;2.5;12.5;32.5;17.5;0;61.7;0.83;1.67;50;0;0;0;0;0;0;0;0;0;0.83;42.5;0;0;0;0.83;0;0;4.17;0.83;0.83;1.67;1.67;0;0;0;5.83;1.67;0;100
24;Felix Agu;GER;DFFW;Werder Bremen;Bundesliga;23;1999;3;0;49;0.5;0;2;0;0;0;0;15.9;0;0;0;32;50;64;598;288;8;10;80;18;20;90;4;12;33.3;0;2;2;2;0;4;50;38;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;12;0;32;0;0;0;4;8;6;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;0;0;66;2;14;26;28;4;66;0;6;0;0;0;0;0;0;0;0;0;2;4;38;4;0;0;0;0;0;6;6;0;2;0;0;2;0;6;2;2;50
25;Álvaro Aguado;ESP;MF;Valladolid;La Liga;26;1996;13;8;747;8.3;0;0.72;0.12;16.7;0;0;25.4;0;0;0;43;51.3;83.8;874.5;239.9;16.7;18.2;92.1;16.7;19.8;84.8;8.31;10.8;76.7;0.24;1.81;4.94;0.48;0.12;5.18;51.3;48.2;3.13;1.81;0.24;0;1.93;2.17;1.2;0;0.84;0;0;0;0;0;0;0;0.12;0;43;0;0;0;0.72;3.73;3.13;0.48;0;0;0.12;0;0.36;0.12;0.24;0;0;0;0;0.36;0.12;0.24;0.12;0;0.36;0.84;42.9;0.48;0;0;0;0;0;0;0;1.08;0.36;0.72;0.6;0.96;0.6;0;57.5;1.45;13;31.2;13.9;0.72;57.5;0.48;1.08;44.4;0;0;0;0;0;0;0;0;0.96;0.24;40.5;1.2;0;0;0.12;0;0;0.48;1.08;0;2.17;0.12;0;0.12;0;5.42;0.96;1.08;47.1
26;Kevin Agudelo;COL;MF;Spezia;Serie A;24;1998;15;11;977;10.9;0;1.1;0.37;33.3;0;0;22.6;0;0;0;20.3;28.6;70.8;313.8;110.6;11.7;14.4;80.9;6.42;8.26;77.8;1.47;2.48;59.3;0;0.92;2.66;0.83;0.09;2.84;28.6;27.5;0.64;0.09;0.18;0;0.09;1.28;0.18;0;0.18;0;0;0;0;0;0;0;0.18;0;20.3;0.46;0;0;1.1;2.11;1.38;0.09;0.18;0.28;0.18;0;0.18;0.09;0;0;0;0.09;0;3.3;1.56;1.1;1.47;0.73;1.28;3.12;41.2;1.83;0;0;0;0;0;0;0;2.02;0.37;1.65;0.55;3.85;0.18;0;42.2;0.64;6.97;20.4;16.2;1.74;42.2;1.19;2.57;46.4;0;0;0;0;0;0;0;0;2.75;2.2;26;3.21;0;0;0.18;0;0;1.47;1.47;0.18;1.28;1.56;0;0;0;5.78;0.55;1.38;28.6
27;Nayef Aguerd;MAR;DF;West Ham;Premier League;26;1996;1;0;76;0.8;0;1.25;0;0;0;0;12.4;0;0;0;48.8;62.5;78;1003.8;433.8;16.3;17.5;92.9;25;28.8;87;7.5;15;50;0;1.25;0;1.25;0;1.25;62.5;60;1.25;1.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48.8;1.25;0;0;0;1.25;1.25;0;0;0;0;0;0;0;0;0;0;0;0;1.25;1.25;0;1.25;0;0;1.25;0;1.25;0;0;0;0;0;0;0;1.25;1.25;0;1.25;2.5;1.25;0;70;2.5;35;32.5;3.75;2.5;70;0;0;0;0;0;0;0;0;0;0;0;1.25;0;53.8;1.25;0;0;0;0;0;0;0;0;0;1.25;0;0;0;7.5;1.25;0;100
28;Ruben Aguilar;FRA;DF;Monaco;Ligue 1;29;1993;7;4;327;3.6;0;0;0;0;0;0;0;0;0;0;47.8;61.4;77.8;750.6;285.3;25.3;29.7;85;18.3;21.7;84.6;3.06;6.67;45.8;0;0;3.06;1.39;0.56;4.17;61.4;51.4;10;0.28;0;0;0;1.94;0;0;0;0;0;0;0;0;0;0;9.72;0;47.8;0;0;0;1.11;0.56;0.28;0.28;0;0;0;0;0;0;0;0;0;0;0;2.5;0.83;1.39;0.28;0.83;0.83;2.5;33.3;1.67;0;0;0;0;0;0;0;0;0;0;2.22;4.72;3.06;0;70.8;4.44;19.2;33.6;18.3;1.67;70.8;0.83;0.83;100;0;0;0;0;0;0;0;0;1.11;0.56;41.1;1.39;0;0;0.28;0;0;1.11;0.83;0;1.94;0.83;0;0;0;6.11;0.28;1.39;16.7
29;Naouirou Ahamada;FRA;MF;Stuttgart;Bundesliga;20;2002;15;15;1231;13.7;0.15;1.09;0.36;33.3;0.13;0.4;22.4;0;0;0;28.2;33.4;84.7;433;95.8;14.5;15.7;92.1;11.5;12.6;91.9;1.17;2.41;48.5;0;0.8;2.26;0.44;0.15;1.9;33.4;32.4;0.88;0.22;0.07;0;0.07;0.44;0;0;0;0;0;0;0;0;0;0;0.36;0;28.2;0.07;0;0;0.88;2.34;1.82;0;0.22;0.15;0.07;0.07;0.29;0.29;0;0;0;0;0;1.17;0.8;0.51;0.44;0.22;0.58;1.39;42.1;0.8;0;0;0;0;0;0;0;0.95;0.29;0.66;0.58;1.75;0.44;0;42.3;1.24;9.56;23.3;10.3;1.31;42.3;1.31;2.63;50;0;0;0;0;0;0;0;0;2.04;0.58;28.4;2.63;0;0;0.15;0;0;1.02;1.17;0.07;0.44;0.8;0;0;0;5.69;0.51;1.02;33.3
30;Jean-Eudes Aholou;CIV;MF;Strasbourg;Ligue 1;28;1994;12;7;590;6.6;0;0.76;0.3;40;0;0;20.9;0;0;0;24.1;34.7;69.4;375.3;98.8;11.7;14.7;79.4;9.09;13.5;67.4;1.67;3.64;45.8;0;0.91;1.82;0.91;0;1.82;34.7;33.6;1.06;0.91;0.45;0;0.15;0.3;0;0;0;0;0;0;0;0;0;0;0.15;0;24.1;0;0;0;0.3;1.82;1.36;0;0;0;0.15;0.3;0.15;0.15;0;0;0;0;0;1.97;1.21;0.45;1.21;0.3;0.76;1.82;41.7;1.06;0;0;0;0;0;0;0;1.21;0;1.21;1.82;3.79;0.76;0;47.3;1.21;6.97;25;15.6;2.73;47.3;1.21;3.18;38.1;0;0;0;0;0;0;0;0;1.97;1.36;30.8;3.18;0;0;0.3;0;0;1.36;2.42;0.15;0.3;1.21;0;0;0;5.15;1.36;1.36;50
