Rk;Player;Nation;Pos;Squad;Comp;Age;Born;MP;Starts;Min;90s;Goals;Shots;SoT;SoT%;G/Sh;G/SoT;ShoDist;ShoFK;ShoPK;PKatt;PasTotCmp;PasTotAtt;PasTotCmp%;PasTotDist;PasTotPrgDist;PasShoCmp;PasShoAtt;PasShoCmp%;PasMedCmp;PasMedAtt;PasMedCmp%;PasLonCmp;PasLonAtt;PasLonCmp%;Assists;PasAss;Pas3rd;PPA;CrsPA;PasProg;PasAtt;PasLive;PasDead;PasFK;TB;PasPress;Sw;PasCrs;CK;CkIn;CkOut;CkStr;PasGround;PasLow;PasHigh;PaswLeft;PaswRight;PaswHead;TI;PaswOther;PasCmp;PasOff;PasOut;PasInt;PasBlocks;SCA;ScaPassLive;ScaPassDead;ScaDrib;ScaSh;ScaFld;ScaDef;GCA;GcaPassLive;GcaPassDead;GcaDrib;GcaSh;GcaFld;GcaDef;Tkl;TklWon;TklDef3rd;TklMid3rd;TklAtt3rd;TklDri;TklDriAtt;TklDri%;TklDriPast;Press;PresSucc;Press%;PresDef3rd;PresMid3rd;PresAtt3rd;Blocks;BlkSh;BlkShSv;BlkPass;Int;Tkl+Int;Clr;Err;Touches;TouDefPen;TouDef3rd;TouMid3rd;TouAtt3rd;TouAttPen;TouLive;DriSucc;DriAtt;DriSucc%;DriPast;DriMegs;Carries;CarTotDist;CarPrgDist;CarProg;Car3rd;CPA;CarMis;CarDis;RecTarg;Rec;Rec%;RecProg;CrdY;CrdR;2CrdY;Fls;Fld;Off;Crs;TklW;PKwon;PKcon;OG;Recov;AerWon;AerLost;AerWon%
1497;Takumi Minamino;JPN;MFFW;Monaco;Ligue 1;27;1995;9;5;332;3.7;0.27;1.89;1.08;57.1;0.14;0.25;16;0.27;0;0;20.8;31.9;65.3;311.9;87;9.19;12.7;72.3;7.84;10;78.4;1.35;5.14;26.3;0.81;0.81;1.08;1.08;0;2.7;31.9;28.1;3.78;1.08;0;0;0.27;6.22;2.43;2.16;0.27;0;0;0;0;0;0;0;0.27;0;20.8;0;0;0;0.54;3.24;2.16;0.27;0;0.27;0.27;0.27;0.81;0.54;0.27;0;0;0;0;1.35;0.54;0.54;0.54;0.27;0.54;3.51;15.4;2.97;0;0;0;0;0;0;0;2.97;0;2.97;1.08;2.43;0.81;0;46.5;1.35;5.68;16.2;25.1;5.14;46.5;0.27;0.81;33.3;0;0;0;0;0;0;0;0;4.32;1.08;28.4;8.38;0;0;0.27;0;0;2.16;1.35;0.54;6.22;0.54;0;0;0;4.59;1.08;0.54;66.7
1498;Tyrone Mings;ENG;DF;Aston Villa;Premier League;29;1993;13;13;1170;13;0;0.08;0;0;0;0;19.1;0;0;0;37.7;45.5;82.9;761.2;313.4;10.8;12;90.4;22.2;24.1;92;4.31;8.62;50;0;0.15;2.46;0.15;0;2.38;45.5;44.2;1.15;1;0;0;0.38;0.08;0;0;0;0;0;0;0;0;0;0;0.15;0;37.7;0.08;0;0;0.15;0.92;0.69;0;0;0;0.15;0.08;0.15;0.08;0;0;0;0.08;0;0.54;0.15;0.31;0.23;0;0.31;0.38;80;0.08;0;0;0;0;0;0;0;1.08;0.77;0.31;1.38;1.92;4.85;0.08;54.6;10;31.7;21.5;1.62;0.69;54.6;0;0.15;0;0;0;0;0;0;0;0;0;0.23;0.15;34.6;0.31;0;0;0.23;0;0;0.85;0.54;0.08;0.08;0.15;0.08;0;0.08;5.31;1.69;0.92;64.7
1499;Óscar Mingueza;ESP;DF;Celta Vigo;La Liga;23;1999;10;4;478;5.3;0;0.57;0;0;0;0;7.3;0;0;0;52.3;66;79.1;860.9;370;27.9;29.8;93.7;19.8;24.3;81.4;3.77;9.06;41.7;0;0.57;4.91;1.13;0.38;3.77;66;53.2;12.8;2.08;0;0;0.19;2.08;0;0;0;0;0;0;0;0;0;0;10.8;0;52.3;0;0;0;1.7;1.51;1.32;0;0;0.19;0;0;0;0;0;0;0;0;0;3.58;1.7;2.83;0.57;0.19;2.45;2.64;92.9;0.19;0;0;0;0;0;0;0;0.94;0.57;0.38;0.75;4.34;2.08;0;74.7;3.4;26.6;32.8;17;1.51;74.7;0.38;0.75;50;0;0;0;0;0;0;0;0;0.57;0.75;44.5;2.64;0;0;0.38;0;0;1.7;0.38;0;2.08;1.7;0;0.19;0;7.36;0.57;0.57;50
1500;Rafa Mir;ESP;FW;Sevilla;La Liga;25;1997;9;7;559;6.2;0.32;3.87;1.13;29.2;0.08;0.29;13.5;0;0;0;9.68;14.5;66.7;123.2;15.6;6.29;7.26;86.7;2.42;4.84;50;0.16;0.65;25;0;0.48;0.32;0;0;0;14.5;12.1;2.26;0;0;0;0;0.81;0;0;0;0;0;0;0;0;0;0;0;0;9.68;0.16;0;0;0.48;1.29;0.65;0;0;0.48;0.16;0;0;0;0;0;0;0;0;0.81;0.16;0.32;0.32;0.16;0.16;0.32;50;0.16;0;0;0;0;0;0;0;0.16;0;0.16;0.32;1.13;1.13;0;24.7;1.29;3.23;9.35;12.1;4.84;24.7;0;1.13;0;0;0;0;0;0;0;0;0;1.77;0.65;16.5;3.23;0;0;0.16;0;0;1.29;1.29;1.45;0.81;0.16;0;0;0;2.9;1.77;2.26;44
1501;Aleksei Miranchuk;RUS;MF;Torino;Serie A;27;1995;9;9;676;7.5;0.27;1.6;0.53;33.3;0.17;0.5;19.3;0;0;0;25.3;30.4;83.3;396.3;90;13.2;14.8;89.2;8;9.73;82.2;2.4;3.6;66.7;0.13;2.13;2.13;1.07;0.13;2.67;30.4;28.8;1.47;0.4;0.13;0;0.13;0.53;0.53;0.27;0;0;0;0;0;0;0;0;0.53;0;25.3;0.13;0;0;0.13;3.73;3.07;0.13;0.13;0.13;0.27;0;0.4;0.27;0;0;0;0.13;0;0.53;0.13;0.13;0.4;0;0.13;0.4;33.3;0.27;0;0;0;0;0;0;0;0.27;0;0.27;0.13;0.67;0.27;0;38.7;0.27;2.13;18.4;18.5;1.73;38.7;0.4;1.6;25;0;0;0;0;0;0;0;0;2;1.07;29.7;3.2;0;0;0;0;0;0.4;1.07;0;0.53;0.13;0.13;0;0;3.73;0.4;1.33;23.1
1502;Juan Miranda;ESP;DF;Betis;La Liga;22;2000;2;1;94;1;0;1;0;0;0;0;28.6;0;0;0;35;51;68.6;524;260;20;25;80;8;10;80;5;13;38.5;0;0;6;1;0;4;51;41;10;4;0;0;1;7;0;0;0;0;0;0;0;0;0;0;6;0;35;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;3;3;1;0;2;2;100;0;0;0;0;0;0;0;0;0;0;0;1;5;2;0;59;2;8;28;23;5;59;0;0;0;0;0;0;0;0;0;0;0;0;3;39;6;0;0;0;0;0;2;2;0;7;3;0;0;0;3;1;2;33.3
1503;Fabio Miretti;ITA;MFFW;Juventus;Serie A;19;2003;13;6;625;6.9;0;2.03;0.43;21.4;0;0;17.5;0;0;0;27.8;39.3;70.8;431;121;15.2;19.3;78.9;9.71;12.5;77.9;1.74;4.06;42.9;0.14;1.59;2.75;1.01;0.14;2.75;39.3;37.5;1.45;0;0.14;0;0.14;1.45;1.01;0.43;0.43;0;0;0;0;0;0;0;0.14;0;27.8;0.29;0;0;1.3;3.77;2.32;0.58;0.29;0.58;0;0;0.43;0.43;0;0;0;0;0;1.74;0.72;1.16;0.43;0.14;0.72;1.88;38.5;1.16;0;0;0;0;0;0;0;1.3;0;1.3;0.29;2.03;0.72;0;53.8;1.16;8.12;28.3;18.4;4.49;53.8;0.87;2.17;40;0;0;0;0;0;0;0;0;3.33;1.74;35.8;6.09;0;0;0.14;0;0;1.74;1.59;0;1.45;0.72;0;0;0;6.67;0.29;1.45;16.7
1504;Tyrick Mitchell;ENG;DF;Crystal Palace;Premier League;23;1999;14;12;977;10.9;0;0.18;0;0;0;0;14.4;0;0;0;38.5;53.2;72.4;622.7;299.9;19.1;23;82.9;16.5;20.6;80;2.11;6.33;33.3;0.18;0.46;3.39;0.73;0.18;3.3;53.2;42.2;10.9;1.65;0;0;0;1.56;0;0;0;0;0;0;0;0;0;0;9.27;0;38.5;0.09;0;0;2.02;1.19;0.83;0.09;0.09;0;0;0.18;0.18;0.18;0;0;0;0;0;1.65;1.01;1.19;0.37;0.09;0.64;1.47;43.8;0.83;0;0;0;0;0;0;0;1.38;0.37;1.01;0.73;2.39;2.48;0;60.3;3.76;22.8;25.8;12.2;0.83;60.3;0.46;1.01;45.5;0;0;0;0;0;0;0;0;1.1;0.83;34.5;1.65;0;0;0.18;0;0;0.73;0.64;0;1.56;1.01;0;0;0;6.06;0.92;1.1;45.5
1505;Kaoru Mitoma;JPN;FWMF;Brighton;Premier League;25;1997;9;2;314;3.5;0.29;0.86;0.57;66.7;0.33;0.5;11.2;0;0;0;35.4;45.1;78.5;450.3;137.1;24.3;28.3;85.9;9.14;11.7;78;0.29;1.14;25;0.29;2.86;1.43;3.43;0;4.86;45.1;42.9;2.29;0;0.29;0;0;2.29;0.29;0;0;0;0;0;0;0;0;0;2;0;35.4;0;0;0;1.43;5.71;4.57;0;0.57;0;0.57;0;0.57;0.57;0;0;0;0;0;4;2.86;2;1.14;0.86;2;2.29;87.5;0.29;0;0;0;0;0;0;0;1.43;0;1.43;0.29;4.29;1.14;0;57.4;1.14;8;15.4;34.9;6;57.4;2.57;4.57;56.3;0;0;0;0;0;0;0;0;2;1.43;40.3;5.43;0;0;0;0;0;1.14;1.43;0;2.29;2.86;0;0;0;5.71;0.86;0.29;75
1506;Aleksandar Mitrovi?;SRB;FW;Fulham;Premier League;28;1994;12;12;1017;11.3;0.8;4.6;1.5;32.7;0.12;0.35;14.8;0;0.27;0.35;11.9;21.1;56.7;196.5;44.6;6.73;10.9;61.8;3.81;6.02;63.2;1.33;2.12;62.5;0;0.97;1.06;0.44;0;1.59;21.1;20.9;0.18;0;0.27;0;0.27;0.18;0;0;0;0;0;0;0;0;0;0;0;0;11.9;0;0;0;0.88;3.27;1.68;0;0.53;0.8;0.27;0;0.62;0.09;0;0.09;0.27;0.18;0;0.8;0.35;0.35;0.27;0.18;0.27;0.53;50;0.27;0;0;0;0;0;0;0;0.8;0.27;0.53;0.09;0.88;0.97;0.09;35.3;1.33;3.54;16.3;15.8;6.81;35;1.15;2.21;52;0;0;0;0;0;0;0;0;3.36;2.21;27.6;4.34;0;0;0.35;0;0;1.15;1.33;0.8;0.18;0.35;0.18;0;0;2.83;5.49;4.87;53
